timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763619159.52582,0x200,WheelSpeeds,8,3E3E3F3F00000000,,,,31,31,159,128
1763619159.6263933,0x200,WheelSpeeds,8,3B3B3C3C00000000,,,,157,158,30,0
1763619159.6270883,0x100,EngineData,8,03A9397300000000,217712,185,88,,,,
1763619159.7315757,0x200,WheelSpeeds,8,3838373900000000,,,,28,27,156,128
1763619159.7317305,0x100,EngineData,8,0384367300000000,198764,57,88,,,,
1763619159.8360875,0x100,EngineData,8,035E337300000000,179300,185,88,,,,
1763619159.8362904,0x200,WheelSpeeds,8,3635353500000000,,,,26,154,154,128
1763619159.9387248,0x100,EngineData,8,0339307300000000,160352,57,88,,,,
1763619159.9388752,0x200,WheelSpeeds,8,3332323300000000,,,,153,25,25,128
1763619160.0432835,0x100,EngineData,8,03132D7300000000,140888,185,88,,,,
1763619160.0439477,0x200,WheelSpeeds,8,3030312F00000000,,,,24,24,151,128
1763619160.1491191,0x100,EngineData,8,02EE2A7300000000,121940,57,88,,,,
1763619160.1494384,0x200,WheelSpeeds,8,2C2C2D2D00000000,,,,22,22,150,128
1763619160.2516096,0x100,EngineData,8,02C8277300000000,102476,185,88,,,,
1763619160.252587,0x200,WheelSpeeds,8,2A292B2900000000,,,,20,149,148,128
1763619160.3559527,0x100,EngineData,8,02A3247200000000,83528,57,-40,,,,
1763619160.3571544,0x200,WheelSpeeds,8,2727272600000000,,,,147,147,147,0
1763619160.4591746,0x100,EngineData,8,027D217200000000,64064,185,-40,,,,
1763619160.4611094,0x200,WheelSpeeds,8,2323232500000000,,,,145,145,146,128
1763619160.5594778,0x100,EngineData,8,02581E7200000000,45116,57,-40,,,,
1763619160.56237,0x200,WheelSpeeds,8,2020212200000000,,,,16,16,145,0
1763619160.665041,0x100,EngineData,8,02321B7200000000,25652,185,-40,,,,
1763619160.6662242,0x200,WheelSpeeds,8,1D1E1C1D00000000,,,,143,14,14,128
1763619160.7666144,0x100,EngineData,8,020D187200000000,6704,57,-40,,,,
1763619160.7668207,0x200,WheelSpeeds,8,1B1B191C00000000,,,,141,140,142,0
1763619160.8685656,0x200,WheelSpeeds,8,1718181900000000,,,,140,12,12,128
1763619160.8717232,0x100,EngineData,8,01E7157200000000,249384,185,-40,,,,
1763619160.971611,0x200,WheelSpeeds,8,1414141400000000,,,,10,10,10,0
1763619160.9739046,0x100,EngineData,8,01C2127200000000,230436,57,-40,,,,
1763619161.0722697,0x200,WheelSpeeds,8,1211131100000000,,,,8,137,136,128
1763619161.0785139,0x100,EngineData,8,019C0F7200000000,210972,185,-40,,,,
1763619161.1756055,0x200,WheelSpeeds,8,0E0F0D0F00000000,,,,7,134,135,128
1763619161.1803293,0x100,EngineData,8,01770C7200000000,192024,57,-40,,,,
1763619161.2813559,0x200,WheelSpeeds,8,0B0C0C0B00000000,,,,134,6,5,128
1763619161.2838845,0x100,EngineData,8,0151097200000000,172560,185,-40,,,,
1763619161.3853946,0x100,EngineData,8,012C067200000000,153612,57,-40,,,,
1763619161.3856046,0x200,WheelSpeeds,8,0809090800000000,,,,4,132,132,0
1763619161.490805,0x100,EngineData,8,0106037200000000,134148,185,-40,,,,
1763619161.491031,0x200,WheelSpeeds,8,0605050600000000,,,,2,130,131,0
1763619161.5960019,0x100,EngineData,8,00E1007200000000,115200,57,-40,,,,
1763619161.5962162,0x200,WheelSpeeds,8,0303030300000000,,,,129,129,129,128
1763619161.6997716,0x100,EngineData,8,0106037200000000,134148,185,-40,,,,
1763619161.7000506,0x200,WheelSpeeds,8,0000000000000000,,,,0,0,0,0
1763619161.8016217,0x100,EngineData,8,012C067200000000,153612,57,-40,,,,
1763619161.8019059,0x200,WheelSpeeds,8,0202030400000000,,,,1,1,130,0
1763619161.9051251,0x100,EngineData,8,0151097200000000,172560,185,-40,,,,
1763619161.9062314,0x200,WheelSpeeds,8,0506050700000000,,,,131,2,131,128
1763619162.0093682,0x200,WheelSpeeds,8,0908080700000000,,,,132,4,3,128
1763619162.0095456,0x100,EngineData,8,01770C7200000000,192024,57,-40,,,,
1763619162.111454,0x100,EngineData,8,019C0F7200000000,210972,185,-40,,,,
1763619162.1123154,0x200,WheelSpeeds,8,0C0B0C0D00000000,,,,5,134,6,128
1763619162.2129686,0x100,EngineData,8,01C2127200000000,230436,57,-40,,,,
1763619162.2135308,0x200,WheelSpeeds,8,0F0E100F00000000,,,,135,8,7,128
1763619162.3169138,0x200,WheelSpeeds,8,1111131000000000,,,,136,137,136,0
1763619162.3176868,0x100,EngineData,8,01E7157200000000,249384,185,-40,,,,
1763619162.418441,0x100,EngineData,8,020D187300000000,6704,57,88,,,,
1763619162.4191685,0x200,WheelSpeeds,8,1515151400000000,,,,138,138,138,0
1763619162.5229552,0x100,EngineData,8,02321B7300000000,25652,185,88,,,,
1763619162.5231075,0x200,WheelSpeeds,8,1718181600000000,,,,140,12,11,0
1763619162.6276321,0x100,EngineData,8,02581E7300000000,45116,57,88,,,,
1763619162.627807,0x200,WheelSpeeds,8,1B1B1B1900000000,,,,141,141,140,128
1763619162.7291994,0x100,EngineData,8,027D217300000000,64064,185,88,,,,
1763619162.7294395,0x200,WheelSpeeds,8,1D1D1D1D00000000,,,,142,142,142,128
1763619162.8306894,0x100,EngineData,8,02A3247300000000,83528,57,88,,,,
1763619162.834076,0x200,WheelSpeeds,8,20211F2000000000,,,,16,143,144,0
1763619162.9349103,0x100,EngineData,8,02C8277300000000,102476,185,88,,,,
1763619162.93628,0x200,WheelSpeeds,8,2323232500000000,,,,145,145,146,128
